,month,max_temp,city,country,lat,lon,alpha-3,region
0,1.0,-25.4,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
1,2.0,-10.1,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
2,3.0,1.6,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
3,4.0,7.5,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
4,5.0,21.3,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
5,6.0,32.4,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
6,7.0,35.0,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
7,8.0,28.3,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
8,9.0,17.6,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
9,10.0,10.2,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
10,11.0,-5.0,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
11,12.0,-22.4,Yakutsk,Russian Federation,62.03,129.73,RUS,Europe
12,1.0,0.9,Jasper,Canada,52.88,-118.08,CAN,Americas
13,2.0,1.0,Jasper,Canada,52.88,-118.08,CAN,Americas
14,3.0,6.8,Jasper,Canada,52.88,-118.08,CAN,Americas
15,4.0,19.3,Jasper,Canada,52.88,-118.08,CAN,Americas
16,5.0,27.2,Jasper,Canada,52.88,-118.08,CAN,Americas
17,6.0,28.0,Jasper,Canada,52.88,-118.08,CAN,Americas
18,7.0,26.8,Jasper,Canada,52.88,-118.08,CAN,Americas
19,8.0,27.5,Jasper,Canada,52.88,-118.08,CAN,Americas
20,9.0,22.4,Jasper,Canada,52.88,-118.08,CAN,Americas
21,10.0,19.0,Jasper,Canada,52.88,-118.08,CAN,Americas
22,11.0,2.1,Jasper,Canada,52.88,-118.08,CAN,Americas
23,12.0,-0.6,Jasper,Canada,52.88,-118.08,CAN,Americas
24,1.0,14.4,Berlin,Germany,52.52,13.4,DEU,Europe
25,2.0,12.1,Berlin,Germany,52.52,13.4,DEU,Europe
26,3.0,17.3,Berlin,Germany,52.52,13.4,DEU,Europe
