month,max_wind,city,country,lat,lon
1.0,32.4,Berlin,Germany,52.52,13.4
2.0,37.8,Berlin,Germany,52.52,13.4
3.0,38.2,Berlin,Germany,52.52,13.4
4.0,27.0,Berlin,Germany,52.52,13.4
5.0,25.6,Berlin,Germany,52.52,13.4
6.0,24.5,Berlin,Germany,52.52,13.4
7.0,29.9,Berlin,Germany,52.52,13.4
8.0,31.7,Berlin,Germany,52.52,13.4
9.0,25.2,Berlin,Germany,52.52,13.4
10.0,33.1,Berlin,Germany,52.52,13.4
11.0,25.2,Berlin,Germany,52.52,13.4
12.0,28.0,Berlin,Germany,52.52,13.4
1.0,23.0,Buenos Aires,Argentina,-34.59,-58.67
2.0,30.6,Buenos Aires,Argentina,-34.59,-58.67
3.0,21.6,Buenos Aires,Argentina,-34.59,-58.67
4.0,33.5,Buenos Aires,Argentina,-34.59,-58.67
5.0,21.9,Buenos Aires,Argentina,-34.59,-58.67
6.0,22.0,Buenos Aires,Argentina,-34.59,-58.67
7.0,23.6,Buenos Aires,Argentina,-34.59,-58.67
8.0,25.9,Buenos Aires,Argentina,-34.59,-58.67
9.0,25.6,Buenos Aires,Argentina,-34.59,-58.67
10.0,26.4,Buenos Aires,Argentina,-34.59,-58.67
11.0,30.5,Buenos Aires,Argentina,-34.59,-58.67
12.0,26.3,Buenos Aires,Argentina,-34.59,-58.67
1.0,15.5,Jasper,Canada,52.88,-118.08
2.0,18.0,Jasper,Canada,52.88,-118.08
3.0,24.8,Jasper,Canada,52.88,-118.08
4.0,26.6,Jasper,Canada,52.88,-118.08
5.0,16.2,Jasper,Canada,52.88,-118.08
6.0,23.5,Jasper,Canada,52.88,-118.08
7.0,23.8,Jasper,Canada,52.88,-118.08
8.0,20.9,Jasper,Canada,52.88,-118.08
9.0,16.6,Jasper,Canada,52.88,-118.08
10.0,19.8,Jasper,Canada,52.88,-118.08
11.0,19.3,Jasper,Canada,52.88,-118.08
12.0,17.5,Jasper,Canada,52.88,-118.08
1.0,33.5,Kaifeng,China,34.74,114.42
2.0,32.0,Kaifeng,China,34.74,114.42
3.0,40.7,Kaifeng,China,34.74,114.42
4.0,42.2,Kaifeng,China,34.74,114.42
5.0,33.8,Kaifeng,China,34.74,114.42
6.0,27.0,Kaifeng,China,34.74,114.42
7.0,26.3,Kaifeng,China,34.74,114.42
8.0,27.7,Kaifeng,China,34.74,114.42
9.0,38.2,Kaifeng,China,34.74,114.42
10.0,21.6,Kaifeng,China,34.74,114.42
11.0,28.2,Kaifeng,China,34.74,114.42
12.0,29.9,Kaifeng,China,34.74,114.42
1.0,13.0,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
2.0,15.5,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
3.0,18.0,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
4.0,12.2,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
5.0,13.0,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
6.0,15.5,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
7.0,15.8,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
8.0,18.0,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
9.0,18.7,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
10.0,17.6,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
11.0,11.5,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
12.0,13.7,Kinshasa,"Congo, Democratic Republic of the",-4.3,15.3
1.0,37.3,Lisbon,Portugal,38.72,-9.13
2.0,33.5,Lisbon,Portugal,38.72,-9.13
3.0,27.7,Lisbon,Portugal,38.72,-9.13
4.0,28.4,Lisbon,Portugal,38.72,-9.13
5.0,39.2,Lisbon,Portugal,38.72,-9.13
6.0,38.9,Lisbon,Portugal,38.72,-9.13
7.0,31.7,Lisbon,Portugal,38.72,-9.13
8.0,39.2,Lisbon,Portugal,38.72,-9.13
9.0,42.1,Lisbon,Portugal,38.72,-9.13
10.0,33.5,Lisbon,Portugal,38.72,-9.13
11.0,32.0,Lisbon,Portugal,38.72,-9.13
12.0,32.8,Lisbon,Portugal,38.72,-9.13
1.0,37.0,Miami,United States of America,25.77,-80.19
2.0,37.8,Miami,United States of America,25.77,-80.19
3.0,35.3,Miami,United States of America,25.77,-80.19
4.0,39.2,Miami,United States of America,25.77,-80.19
5.0,30.2,Miami,United States of America,25.77,-80.19
6.0,26.4,Miami,United States of America,25.77,-80.19
7.0,24.6,Miami,United States of America,25.77,-80.19
8.0,44.6,Miami,United States of America,25.77,-80.19
9.0,32.4,Miami,United States of America,25.77,-80.19
10.0,37.4,Miami,United States of America,25.77,-80.19
11.0,42.9,Miami,United States of America,25.77,-80.19
12.0,33.7,Miami,United States of America,25.77,-80.19
1.0,21.6,Sittwe,Myanmar,20.15,92.9
2.0,24.4,Sittwe,Myanmar,20.15,92.9
3.0,32.8,Sittwe,Myanmar,20.15,92.9
4.0,29.2,Sittwe,Myanmar,20.15,92.9
5.0,79.2,Sittwe,Myanmar,20.15,92.9
6.0,23.0,Sittwe,Myanmar,20.15,92.9
7.0,34.9,Sittwe,Myanmar,20.15,92.9
8.0,36.7,Sittwe,Myanmar,20.15,92.9
9.0,33.1,Sittwe,Myanmar,20.15,92.9
10.0,44.6,Sittwe,Myanmar,20.15,92.9
11.0,19.3,Sittwe,Myanmar,20.15,92.9
12.0,17.2,Sittwe,Myanmar,20.15,92.9
1.0,36.0,Sydney,Australia,-33.88,151.22
2.0,35.0,Sydney,Australia,-33.88,151.22
3.0,45.4,Sydney,Australia,-33.88,151.22
4.0,30.6,Sydney,Australia,-33.88,151.22
5.0,38.2,Sydney,Australia,-33.88,151.22
6.0,31.7,Sydney,Australia,-33.88,151.22
7.0,30.3,Sydney,Australia,-33.88,151.22
8.0,35.3,Sydney,Australia,-33.88,151.22
9.0,42.5,Sydney,Australia,-33.88,151.22
10.0,45.4,Sydney,Australia,-33.88,151.22
11.0,40.1,Sydney,Australia,-33.88,151.22
12.0,32.4,Sydney,Australia,-33.88,151.22
1.0,14.0,Yakutsk,Russian Federation,62.03,129.73
2.0,22.0,Yakutsk,Russian Federation,62.03,129.73
3.0,30.2,Yakutsk,Russian Federation,62.03,129.73
4.0,27.0,Yakutsk,Russian Federation,62.03,129.73
5.0,28.4,Yakutsk,Russian Federation,62.03,129.73
6.0,27.0,Yakutsk,Russian Federation,62.03,129.73
7.0,34.6,Yakutsk,Russian Federation,62.03,129.73
8.0,22.0,Yakutsk,Russian Federation,62.03,129.73
9.0,38.9,Yakutsk,Russian Federation,62.03,129.73
10.0,34.2,Yakutsk,Russian Federation,62.03,129.73
11.0,23.3,Yakutsk,Russian Federation,62.03,129.73
12.0,13.9,Yakutsk,Russian Federation,62.03,129.73
